Player,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
37,Vinicius Souza,br BRA,MF,Sheffield Utd,24-122,1999,8,7,608,6.8,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,3,22,8,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
38,Thiago Silva,br BRA,DF,Chelsea,39-025,1984,8,8,720,8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,31,1,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches
39,Neto,br BRA,GK,Bournemouth,34-090,1989,8,8,720,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Murillo,br BRA,DF,Nott'ham Forest,21-105,2002,2,2,180,2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,2,7,0,0,0,0,0,0,0.24,0.07,0.31,0.24,0.31,Matches
41,Rodrigo Muniz,br BRA,FW,Fulham,22-166,2001,3,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,1,0,0,0,0,0,0.59,0.13,0.71,0.59,0.71,Matches
42,Joelinton,br BRA,MF,Newcastle Utd,27-064,1996,5,4,288,3.2,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.7,5,9,10,0,0,0,0,0,0.11,0.1,0.2,0.11,0.2,Matches
43,Igor,br BRA,DF,Brighton,25-252,1998,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,3,0,0,0,0,0,0,0,0.31,0.31,0,0.31,Matches
44,João Gomes,br BRA,MF,Wolves,22-247,2001,8,8,625,6.9,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.4,4,18,5,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches
45,Ederson,br BRA,GK,Manchester City,30-061,1993,8,8,720,8,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
46,Gabriel Dos Santos,br BRA,DF,Arsenal,25-302,1997,7,5,476,5.3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,17,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
